conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,1909770568200863803,2025-04-09T00:49:19.000Z,1538,"Gue itu kaget waktu diundang bukber, soalnya lagi getol2nya kritik Pak @aniesbaswedan mulai dari soal Ormas hingga RUU TNI. Ini ketawa2 pun gara2 gue ngomong “Saya akan tetap mengkritisi Bapak ya,” yang dijawab “Hahaha iya dong, ini yg membedakan kita dengan yg lain.” https://t.co/Y54uRuBag3",1909770568200863803.1,https://pbs.twimg.com/media/GoDeMntbwAES6_R.jpg,Unnamed: 6,in,Unnamed: 8,3,12,153,https://x.com/kozirama/status/1909770568200863803,53360203,kozirama,1908855321931796780,2025-04-06T12:12:28.000Z,7624,"Wawancara dengan 6 pemimpin redaksi, yg dimoderatori host dari TVRI ini akan tayang besok sore di media masing2. Wawancara berlangsung 3 jam. Full on the record. Soal demonstrasi, RUU TNI, RUU Polri sampai kepala babi dan komunikasi pemerintah ditanyakan. Termasuk Tarif Trump😊",1908855321931796780.1,Unnamed: 5,411,366,1346,https://x.com/unilubis/status/1908855321931796780,85087815,unilubis,1912767564188418476,2025-04-17T07:18:19.000Z,11570,Presiden Prabowo Subianto telah resmi mengesahkan RUU TNI sejak sebelum lebaran 2025. Hal ini dikonfirmasi oleh Menteri Sekretaris Negara Prasetyo Hadi. https://t.co/Aa7wQEaPAP,1912767564188418476.1,https://pbs.twimg.com/media/GouC7OEacAIoTQ_.jpg,1170,739,2582,https://x.com/asumsico/status/1912767564188418476,829366551446818816,asumsico
1.9038605759119729e+18,2025-03-23T17:25:07.000Z,0.0,"Tindakan kalian malam ini ngebuktiin kalo RUU TNI dan Polri harus DITOLAK

#TolakRUUTNI
#TolakRUUPolri 
#TolakRUUKejaksaan 
#IndonesiaGelap",1.9038605759119729e+18,,,in,,0.0,0.0,0.0,https://x.com/xx_dimithree/status/1903860575911972974,2581040654.0,xx_dimithree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9038508551091407e+18,2025-03-23T16:46:30.000Z,2.0,"6 guru kontrak tewas di bunuh KKB di Papua, bisakah TNI mengatasi nya ???
Sibuk aja RUU TNI 🤦",1.9038508551091407e+18,,,in,,0.0,0.0,0.0,https://x.com/LaiElfrid/status/1903850855109140624,1978790995.0,LaiElfrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.903954707170943e+18,2025-03-23T23:39:10.000Z,2.0,"gua jelasin kerugian ruu tni ke mereka jawabnya malah, “ya baguslah kl gitu, org prabs kerjanya bagus.” anjing kok ada org seidiot ini bangsat? malu banget malu anjing",1.903954707170943e+18,,,in,,0.0,1.0,0.0,https://x.com/otomacy/status/1903954707170942994,1.44175779681536e+18,otomacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9038896857155297e+18,2025-03-23T19:20:48.000Z,0.0,"sumpah 02 voters kalian jahat banget karena pilihan kalian banyak sekali korban kekerasan dari pihak polisi dan TNI.. gue bahkan gak bisa tidur dengan tenang semenjak RUU TNI disahkan. buka tl juga rasanya marah, sedih, nyesek liat bertebaran dokum saat demo. :)",1.9038896857155297e+18,,,in,,0.0,0.0,0.0,https://x.com/gukiezs/status/1903889685715529737,7.463643929717432e+17,gukiezs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.903911163135701e+18,2025-03-23T20:46:08.000Z,0.0,Makin tolol aja ini Aparat kaga kebayang dah kalau ruu tni sama ruu polri udah fix ketok palu ini negara bakalan kaya apa,1.903911163135701e+18,,,in,,0.0,0.0,0.0,https://x.com/egodanisiotak/status/1903911163135700996,1.2761247575664517e+18,egodanisiotak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9039569298207337e+18,2025-03-23T23:48:00.000Z,2.0,"Gemoy tahu RUU TNI nya udh sukses. makanya gerbong busuk lainnya jd lebih gampang. Krn memang itu semua sepaket dalam jalan politik utk membangkitkan kembali kejayaan otoriter.
RKUHAP, RUU Kejaksaan, RUU Polri, RUU P2SK dibidang ekonomi akan lebih mudah krn pengalihannya.",1.9039569298207337e+18,,,in,,0.0,1.0,1.0,https://x.com/damarJR08/status/1903956929820733572,2612435815.0,damarJR08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9038881200447654e+18,2025-03-23T19:14:35.000Z,1.0,Kenapa siaran berita di TV gak ada tayangan tentang demo mahasiswa kemarin terkait RUU TNI ya?,1.9038881200447654e+18,,,in,,0.0,0.0,0.0,https://x.com/sekarmaharanpw/status/1903888120044765327,1.6774709770249994e+18,sekarmaharanpw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9039334304356275e+18,2025-03-23T22:14:37.000Z,1.0,"Itulah pentingnya untuk mendukung RUU polri dan menolak RUU TNI 

🤧🙄",1.9039334304356275e+18,,,in,,0.0,0.0,0.0,https://x.com/AlmaghribiS/status/1903933430435627403,2717547397.0,AlmaghribiS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9039391601652943e+18,2025-03-23T22:37:23.000Z,2.0,"Demo TOLAK RUU TNI di malang Chaos, BUZZER pemerintah nya baru pada nongol noh buat nutup yg harus nya di terbitkan ke seluruh rakyat Indonesia",1.9039391601652943e+18,,,in,,0.0,1.0,0.0,https://x.com/Wan_Flow96/status/1903939160165294350,1.7639984724607427e+18,Wan_Flow96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9038759998986693e+18,2025-03-23T18:26:25.000Z,0.0,"buka ig dan x berbeda banget jir, yg di ig mangamek2 bukber, nan di x lah heboh dek grgr ruu tni🔥",1.9038759998986693e+18,,,in,,0.0,0.0,0.0,https://x.com/pinutpotato/status/1903875999898669429,566067612.0,pinutpotato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
